example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,universal_difficulty_rank
35,/home/projects/bagon/shared/imagenet512/val/n03891332/ILSVRC2012_val_00017999.JPEG,428,106.8322525024414,0.0009908676147460938,0.06416912538768958,31964
875,/home/projects/bagon/shared/imagenet512/val/n04133789/ILSVRC2012_val_00019572.JPEG,377,215.27430629730225,0.0009965896606445312,0.15073513804189295,44117
36,/home/projects/bagon/shared/imagenet512/val/n02106662/ILSVRC2012_val_00022142.JPEG,314,37.58953380584717,0.00099945068359375,0.10314005272150714,31969
37,/home/projects/bagon/shared/imagenet512/val/n02095889/ILSVRC2012_val_00037272.JPEG,386,88.27600860595703,0.000995635986328125,0.09529392869707491,31975
876,/home/projects/bagon/shared/imagenet512/val/n09428293/ILSVRC2012_val_00009411.JPEG,677,97.96005249023438,0.0009927749633789062,0.16646582071982596,44118
877,/home/projects/bagon/shared/imagenet512/val/n01498041/ILSVRC2012_val_00002284.JPEG,389,26.065181732177734,0.00099945068359375,0.10181750594586432,44123
38,/home/projects/bagon/shared/imagenet512/val/n03947888/ILSVRC2012_val_00007351.JPEG,595,37.9155216217041,0.0009927749633789062,0.12277847717884698,32105
39,/home/projects/bagon/shared/imagenet512/val/n07590611/ILSVRC2012_val_00038847.JPEG,234,45.46390724182129,0.0009899139404296875,0.07195232822721724,32138
40,/home/projects/bagon/shared/imagenet512/val/n01930112/ILSVRC2012_val_00045183.JPEG,193,12.246192932128906,0.00099945068359375,0.06460686745352971,32325
878,/home/projects/bagon/shared/imagenet512/val/n04264628/ILSVRC2012_val_00026369.JPEG,767,77.31669044494629,0.0009870529174804688,0.14414463269839636,44126
41,/home/projects/bagon/shared/imagenet512/val/n02094258/ILSVRC2012_val_00045352.JPEG,686,75.7926139831543,0.0009984970092773438,0.12929918623131129,32348
879,/home/projects/bagon/shared/imagenet512/val/n02114712/ILSVRC2012_val_00017643.JPEG,387,68.43154239654541,0.0009927749633789062,0.13829744332102234,44129
880,/home/projects/bagon/shared/imagenet512/val/n03661043/ILSVRC2012_val_00028549.JPEG,274,113.52572917938232,0.0009975433349609375,0.08480981666953284,44145
42,/home/projects/bagon/shared/imagenet512/val/n01978455/ILSVRC2012_val_00031923.JPEG,376,23.84005069732666,0.0009870529174804688,0.09789671716470333,32461
881,/home/projects/bagon/shared/imagenet512/val/n04357314/ILSVRC2012_val_00023722.JPEG,363,134.2212610244751,0.0009937286376953125,0.11441023082087998,44159
43,/home/projects/bagon/shared/imagenet512/val/n02089973/ILSVRC2012_val_00038944.JPEG,325,39.07322883605957,0.0009899139404296875,0.11541893961419271,32541
44,/home/projects/bagon/shared/imagenet512/val/n03630383/ILSVRC2012_val_00040416.JPEG,305,69.58491897583008,0.0009965896606445312,0.0734642454005529,32559
882,/home/projects/bagon/shared/imagenet512/val/n03877845/ILSVRC2012_val_00003937.JPEG,803,52.8515625,0.00099945068359375,0.15056629816775366,44167
45,/home/projects/bagon/shared/imagenet512/val/n02123394/ILSVRC2012_val_00004411.JPEG,485,92.18539142608643,0.0009975433349609375,0.0876200488966394,32592
883,/home/projects/bagon/shared/imagenet512/val/n03709823/ILSVRC2012_val_00005195.JPEG,354,34.801547050476074,0.0009937286376953125,0.08945070496881964,44172
884,/home/projects/bagon/shared/imagenet512/val/n03530642/ILSVRC2012_val_00042804.JPEG,157,12.92093563079834,0.0009937286376953125,0.05933521199313933,44175
