rank,num_true,num_models,acc_percent,image_path
12192,56,1023,5.474,12192_acc5.5_fd0acf441e4942f.png
10105,148,1023,14.467,10105_acc14.5_4f4bc8063a7c46f.png
8427,285,1023,27.859,8427_acc27.9_4c049fb6d7014a5.png
15828,2,1023,0.196,15828_acc0.2_8f688c0e7f92455.png
10812,109,1023,10.655,10812_acc10.7_9e9a4b7dd2f7421.png
8776,252,1023,24.633,8776_acc24.6_8bbb07b117ab496.png
10210,142,1023,13.881,10210_acc13.9_6c72fcde86fe451.png
11433,82,1023,8.016,11433_acc8.0_b3027d7df4f446b.png
5959,568,1023,55.523,5959_acc55.5_66263c91caaa493.png
7657,363,1023,35.484,7657_acc35.5_1c410342d63b41c.png
1194,1001,1023,97.849,1194_acc97.8_71f7646f8e5f42c.png
8549,274,1023,26.784,8549_acc26.8_c57e0c54a299450.png
9284,207,1023,20.235,9284_acc20.2_3cb800851c9d452.png
10646,117,1023,11.437,10646_acc11.4_f01ff8178d6b4ba.png
4059,793,1023,77.517,4059_acc77.5_4c7877af1cf7471.png
4497,746,1023,72.923,4497_acc72.9_6359b2e718cd482.png
3074,892,1023,87.195,3074_acc87.2_b79f5f15aac34a7.png
7260,411,1023,40.176,7260_acc40.2_30534fcb581d407.png
629,1017,1023,99.413,629_acc99.4_0016024541d946a.png
14399,12,1023,1.173,14399_acc1.2_31a1dcd6d3794c6.png
2452,936,1023,91.496,2452_acc91.5_22ad76a5803541d.png
134,1023,1023,100.000,134_acc100.0_e74a9617cebd4cd.png
203,1022,1023,99.902,203_acc99.9_bf0faea3f98443f.png
5026,682,1023,66.667,5026_acc66.7_356534d16e934f2.png
8040,324,1023,31.672,8040_acc31.7_e3ece92478c14f5.png
2093,959,1023,93.744,2093_acc93.7_bff8f3fa4d2b48f.png
10497,125,1023,12.219,10497_acc12.2_e3f925b5d5c645c.png
12823,38,1023,3.715,12823_acc3.7_f258bbeb912343a.png
6805,466,1023,45.552,6805_acc45.6_c9d8cbf8e65a485.png
5957,568,1023,55.523,5957_acc55.5_58d62ffa4d8c4a9.png
3521,847,1023,82.796,3521_acc82.8_eb2f8052f0074c2.png
5696,598,1023,58.456,5696_acc58.5_753a507f48074f6.png
6768,471,1023,46.041,6768_acc46.0_55d29ebae3c54a4.png
13571,23,1023,2.248,13571_acc2.2_9def00de81cf44e.png
6,1023,1023,100.000,6_acc100.0_8fe67d6bd89c435.png
16093,1,1023,0.098,16093_acc0.1_48e3d1f6c194439.png
4495,746,1023,72.923,4495_acc72.9_042d525b2c7c4fe.png
2598,928,1023,90.714,2598_acc90.7_66cdaf602e374db.png
18037,0,1023,0.000,18037_acc0.0_d818a88a5826445.png
9425,195,1023,19.062,9425_acc19.1_b99f32c4d618410.png
12519,46,1023,4.497,12519_acc4.5_4116369144774cc.png
12040,61,1023,5.963,12040_acc6.0_07c749b76ca44bd.png
7016,438,1023,42.815,7016_acc42.8_74b3643b5c974d4.png
5379,639,1023,62.463,5379_acc62.5_99db9d4a15b9451.png
3388,862,1023,84.262,3388_acc84.3_c0614219ca68437.png
10321,134,1023,13.099,10321_acc13.1_d15f97ed9588486.png
12367,51,1023,4.985,12367_acc5.0_3f3e94b54cb94f8.png
10586,120,1023,11.730,10586_acc11.7_b6da799837044bb.png
18392,0,1023,0.000,18392_acc0.0_34d19da4daeb4ea.png
9721,174,1023,17.009,9721_acc17.0_df6c6f94bb974f5.png
16146,1,1023,0.098,16146_acc0.1_73b9c2a956e5457.png
5471,629,1023,61.486,5471_acc61.5_355d1c56c7b748e.png
11265,89,1023,8.700,11265_acc8.7_9b45531e65b0413.png
3142,886,1023,86.608,3142_acc86.6_0bd9d91a43d3442.png
17361,0,1023,0.000,17361_acc0.0_a141350f92904df.png
9543,186,1023,18.182,9543_acc18.2_9d9bcb095c1849a.png
11605,75,1023,7.331,11605_acc7.3_7383c0a9d1d147c.png
